Data;Taxa (% a.a.);Fator diario;Financeiro (R$);Operacoes;Media;Mediana;Moda;Desvio padrao;Indice de curtose
13/02/2025;13,15;1,00049037;1.455.766.218.652,54;882;13,15;13,14;13,15;0,039;3.533,18
12/02/2025;13,15;1,00049037;1.436.891.976.758,47;883;13,15;13,14;13,15;0,041;3.223,68
11/02/2025;13,15;1,00049037;1.443.713.354.139,21;858;13,15;13,14;13,15;0,042;3.025,33
10/02/2025;13,15;1,00049037;1.450.995.570.819,35;899;13,15;13,14;13,15;0,041;3.202,74
07/02/2025;13,15;1,00049037;1.433.937.504.730,89;895;13,15;13,14;13,15;0,034;4.219,49
06/02/2025;13,15;1,00049037;1.429.520.063.949,62;890;13,15;13,14;13,15;0,026;4.760,96
05/02/2025;13,15;1,00049037;1.430.856.427.770,70;878;13,15;13,14;13,15;0,019;704,108
04/02/2025;13,15;1,00049037;1.455.020.308.857,54;925;13,15;13,14;13,15;0,019;701,824
03/02/2025;13,15;1,00049037;1.447.714.264.663,33;928;13,15;13,14;13,15;0,035;649,243
31/01/2025;13,15;1,00049037;1.451.402.221.147,39;833;13,15;13,14;13,15;0,022;3.523,09
30/01/2025;13,15;1,00049037;1.516.300.611.360,20;888;13,15;13,14;13,15;0,036;691,018
29/01/2025;12,15;1,00045513;1.504.741.052.835,19;848;12,15;12,14;12,15;0,018;578,514
28/01/2025;12,15;1,00045513;1.503.685.885.498,42;790;12,15;12,14;12,15;0,018;613,285
27/01/2025;12,15;1,00045513;1.477.157.576.990,94;851;12,15;12,14;12,15;0,018;604,316
24/01/2025;12,15;1,00045513;1.522.162.442.517,80;892;12,15;12,14;12,15;0,026;4.777,61
23/01/2025;12,15;1,00045513;1.541.740.667.747,99;855;12,15;12,14;12,15;0,028;4.380,31
22/01/2025;12,15;1,00045513;1.566.506.872.998,24;872;12,15;12,14;12,15;0,028;4.548,54
21/01/2025;12,15;1,00045513;1.612.574.019.701,75;848;12,15;12,14;12,15;0,029;4.299,87
20/01/2025;12,15;1,00045513;1.656.228.284.186,90;901;12,15;12,14;12,15;0,028;4.326,84
17/01/2025;12,15;1,00045513;1.657.062.706.979,22;888;12,15;12,14;12,15;0,026;4.709,44
16/01/2025;12,15;1,00045513;1.665.749.838.064,54;837;12,15;12,14;12,15;0,029;4.246,43
15/01/2025;12,15;1,00045513;1.674.668.980.830,30;896;12,15;12,14;12,15;0,028;4.526,40
14/01/2025;12,15;1,00045513;1.691.390.557.788,34;927;12,15;12,14;12,15;0,036;3.324,76
13/01/2025;12,15;1,00045513;1.821.093.025.550,73;954;12,15;12,14;12,15;0,054;595,275
10/01/2025;12,15;1,00045513;1.699.306.992.229,03;932;12,15;12,14;12,15;0,031;4.010,98
09/01/2025;12,15;1,00045513;1.693.854.935.605,73;898;12,15;12,14;12,15;0,04;2.882,51
08/01/2025;12,15;1,00045513;1.689.390.470.820,30;926;12,15;12,14;12,15;0,036;3.334,59
07/01/2025;12,15;1,00045513;1.716.587.755.598,38;987;12,15;12,14;12,15;0,031;3.682,84
06/01/2025;12,15;1,00045513;1.721.200.099.275,14;978;12,15;12,14;12,15;0,028;3.728,41
03/01/2025;12,15;1,00045513;1.730.742.386.155,50;949;12,15;12,14;12,15;0,023;3.315,02
02/01/2025;12,15;1,00045513;1.686.745.750.553,83;981;12,15;12,14;12,15;0,021;477,319
31/12/2024;12,15;1,00045513;1.278.142.428.720,80;323;12,15;12,15;12,15;0,03;4.708,20
30/12/2024;12,15;1,00045513;1.326.352.464.476,55;334;12,15;12,15;12,15;0,024;4.124,81
27/12/2024;12,15;1,00045513;1.487.096.173.286,16;903;12,15;12,14;12,15;0,029;4.132,68
26/12/2024;12,15;1,00045513;1.492.017.344.850,94;867;12,15;12,14;12,15;0,113;527.515,48
24/12/2024;12,15;1,00045513;1.401.001.551.621,44;378;12,15;12,15;12,15;0,034;3.869,23
23/12/2024;12,15;1,00045513;1.455.009.268.971,92;424;12,15;12,15;12,15;0,033;3.412,52
20/12/2024;12,15;1,00045513;1.670.269.263.891,60;882;12,15;12,14;12,15;0,035;3.447,98
19/12/2024;12,15;1,00045513;1.687.156.779.798,47;869;12,15;12,14;12,15;0,032;4.043,53
18/12/2024;12,15;1,00045513;1.701.619.618.480;894;12,15;12,14;12,15;0,032;4.177,34
17/12/2024;12,15;1,00045513;1.726.824.557.657,58;862;12,15;12,14;12,15;0,036;3.540,89
16/12/2024;12,15;1,00045513;1.713.345.744.898,38;800;12,15;12,14;12,15;0,052;1.016,38
13/12/2024;12,15;1,00045513;1.754.521.179.627,60;857;12,15;12,14;12,15;0,052;1.012,62
12/12/2024;12,15;1,00045513;1.740.237.045.786,31;840;12,15;12,14;12,15;0,036;3.552,42
11/12/2024;11,15;1,00041957;1.718.871.423.642,37;843;11,15;11,14;11,15;0,035;2.810,07
10/12/2024;11,15;1,00041957;1.762.720.496.217,46;878;11,15;11,14;11,15;0,035;3.056,35
09/12/2024;11,15;1,00041957;1.750.864.950.412,35;896;11,15;11,14;11,15;0,038;2.844,23
06/12/2024;11,15;1,00041957;1.739.465.558.179,95;922;11,15;11,14;11,15;0,034;3.293,92
05/12/2024;11,15;1,00041957;1.730.961.608.871,27;835;11,15;11,14;11,15;0,028;4.237,23
04/12/2024;11,15;1,00041957;1.734.397.408.630,74;852;11,15;11,14;11,15;0,016;656,006
03/12/2024;11,15;1,00041957;1.754.945.807.104,06;852;11,15;11,14;11,15;0,016;563,497
02/12/2024;11,15;1,00041957;1.719.552.958.666,34;836;11,15;11,14;11,15;0,017;552,556
29/11/2024;11,15;1,00041957;1.657.429.910.833,37;850;11,15;11,14;11,15;0,022;3.980,52
28/11/2024;11,15;1,00041957;1.718.471.720.459,66;878;11,15;11,14;11,15;0,023;3.938,73
27/11/2024;11,15;1,00041957;1.697.970.192.407,85;865;11,15;11,14;11,15;0,023;4.974,20
26/11/2024;11,15;1,00041957;1.723.926.347.919,13;831;11,15;11,14;11,15;0,026;4.708,93
25/11/2024;11,15;1,00041957;1.745.099.587.473,43;843;11,15;11,14;11,15;0,027;4.204,02
22/11/2024;11,15;1,00041957;1.748.093.323.775,84;823;11,15;11,14;11,15;0,029;4.180,84
21/11/2024;11,15;1,00041957;1.745.962.052.941,91;816;11,15;11,14;11,15;0,031;3.696,93
19/11/2024;11,15;1,00041957;1.784.440.590.660,85;877;11,15;11,14;11,15;0,03;3.893,12
18/11/2024;11,15;1,00041957;1.768.334.384.599,99;838;11,15;11,14;11,15;0,031;3.887,11
14/11/2024;11,15;1,00041957;1.808.545.932.376,34;964;11,15;11,14;11,15;0,03;4.036,14
13/11/2024;11,15;1,00041957;1.811.603.433.916,85;834;11,15;11,14;11,15;0,033;3.292,57
12/11/2024;11,15;1,00041957;1.813.398.726.763,58;857;11,15;11,14;11,15;0,034;3.294,16
11/11/2024;11,15;1,00041957;1.792.687.664.848,35;851;11,15;11,14;11,15;0,035;3.244,26
08/11/2024;11,15;1,00041957;1.782.273.040.431,27;822;11,15;11,14;11,15;0,037;7.931,23
07/11/2024;11,15;1,00041957;1.783.235.625.616,22;835;11,15;11,14;11,15;0,041;2.331,11
06/11/2024;10,65;1,00040168;1.745.890.872.778,69;856;10,65;10,64;10,65;0,035;2.875,80
05/11/2024;10,65;1,00040168;1.783.909.587.657,19;835;10,65;10,64;10,65;0,029;3.610,96
04/11/2024;10,65;1,00040168;1.766.276.859.669,69;833;10,65;10,64;10,65;0,024;4.251,09
01/11/2024;10,65;1,00040168;1.738.184.163.923,99;845;10,65;10,64;10,65;0,021;3.804,32
31/10/2024;10,65;1,00040168;1.717.783.367.862,54;805;10,65;10,64;10,65;0,03;3.455,45
30/10/2024;10,65;1,00040168;1.804.364.824.259,98;860;10,65;10,64;10,65;0,028;3.838,76
29/10/2024;10,65;1,00040168;1.792.552.345.889,55;826;10,65;10,64;10,65;0,029;3.645,95
28/10/2024;10,65;1,00040168;1.775.185.047.587,97;842;10,65;10,64;10,65;0,031;3.455,88
25/10/2024;10,65;1,00040168;1.799.375.056.058,34;846;10,65;10,64;10,65;0,031;3.510,72
24/10/2024;10,65;1,00040168;1.791.728.236.417,02;841;10,65;10,64;10,65;0,031;3.414,74
23/10/2024;10,65;1,00040168;1.797.897.517.845,64;851;10,65;10,64;10,65;0,033;3.214,65
22/10/2024;10,65;1,00040168;1.816.312.228.471,01;848;10,65;10,64;10,65;0,033;3.289,81
21/10/2024;10,65;1,00040168;1.811.260.422.499,13;848;10,65;10,64;10,65;0,033;3.244,72
18/10/2024;10,65;1,00040168;1.850.761.762.886,66;800;10,65;10,64;10,65;0,033;3.259,46
17/10/2024;10,65;1,00040168;1.859.986.106.394,27;882;10,65;10,64;10,65;0,033;3.227,39
16/10/2024;10,65;1,00040168;1.850.709.991.748,15;843;10,65;10,64;10,65;0,033;3.365,18
15/10/2024;10,65;1,00040168;1.865.627.612.517,64;851;10,65;10,64;10,65;0,204;166.335,88
14/10/2024;10,65;1,00040168;1.876.808.926.076,81;879;10,65;10,64;10,65;0,036;2.834,84
11/10/2024;10,65;1,00040168;1.868.563.080.241,29;898;10,65;10,64;10,65;0,035;2.931,98
10/10/2024;10,65;1,00040168;1.893.369.529.449,01;773;10,65;10,64;10,65;0,035;2.986,40
09/10/2024;10,65;1,00040168;1.868.643.214.047,90;796;10,65;10,64;10,65;0,035;3.002,87
08/10/2024;10,65;1,00040168;1.877.607.269.827,35;827;10,65;10,64;10,65;0,036;2.792,50
07/10/2024;10,65;1,00040168;1.867.071.921.420,89;763;10,65;10,64;10,65;0,031;3.539,63
04/10/2024;10,65;1,00040168;1.880.097.621.606,24;768;10,65;10,64;10,65;0,027;4.208,79
03/10/2024;10,65;1,00040168;1.882.450.495.272,04;897;10,65;10,64;10,65;0,022;4.570,30
02/10/2024;10,65;1,00040168;1.885.982.932.871,94;881;10,65;10,64;10,65;0,017;2.135,02
01/10/2024;10,65;1,00040168;1.906.383.745.690,57;922;10,65;10,64;10,65;0,019;1.455,05
30/09/2024;10,65;1,00040168;1.742.582.939.546,26;931;10,65;10,64;10,65;0,022;3.702,07
27/09/2024;10,65;1,00040168;1.810.005.011.420,02;888;10,65;10,64;10,65;0,025;2.405,94
26/09/2024;10,65;1,00040168;1.834.411.916.867,02;871;10,65;10,64;10,65;0,023;2.437,30
25/09/2024;10,65;1,00040168;1.867.857.425.392,94;798;10,65;10,64;10,65;0,02;2.917,38
24/09/2024;10,65;1,00040168;1.883.918.829.661,82;816;10,65;10,64;10,65;0,021;3.835,97
23/09/2024;10,65;1,00040168;1.888.007.774.127,44;779;10,65;10,64;10,65;0,023;4.184,92
20/09/2024;10,65;1,00040168;1.900.126.392.430,47;825;10,65;10,64;10,65;0,026;3.789,04
19/09/2024;10,65;1,00040168;1.918.226.496.631,73;866;10,65;10,64;10,65;0,026;3.866,17
18/09/2024;10,4;1,0003927;1.870.562.534.148,52;785;10,4;10,39;10,4;0,026;3.770,86
17/09/2024;10,4;1,0003927;1.951.228.918.446,55;940;10,4;10,39;10,4;0,031;3.065,18
16/09/2024;10,4;1,0003927;1.925.334.066.382,82;783;10,4;10,39;10,4;0,031;3.148,92
13/09/2024;10,4;1,0003927;1.934.240.399.105,21;808;10,4;10,39;10,4;0,029;3.349,89
12/09/2024;10,4;1,0003927;1.940.511.587.994,04;781;10,4;10,39;10,4;0,032;3.081,90
11/09/2024;10,4;1,0003927;1.946.740.178.349,78;796;10,4;10,39;10,4;0,033;3.029,93
10/09/2024;10,4;1,0003927;1.962.628.617.546,22;805;10,4;10,4;10,4;0,035;2.654,54
09/09/2024;10,4;1,0003927;1.946.700.268.715,31;785;10,4;10,39;10,4;0,034;2.931,02
06/09/2024;10,4;1,0003927;1.942.422.421.331,44;792;10,4;10,39;10,4;0,032;3.085,13
05/09/2024;10,4;1,0003927;1.940.055.913.518,53;794;10,4;10,39;10,4;0,03;3.270,04
04/09/2024;10,4;1,0003927;1.944.758.878.236,36;879;10,4;10,39;10,4;0,028;3.362,25
03/09/2024;10,4;1,0003927;1.969.052.850.738,02;798;10,4;10,39;10,4;0,027;3.513,09
02/09/2024;10,4;1,0003927;1.949.321.791.784,20;941;10,4;10,39;10,4;0,025;3.093,91
30/08/2024;10,4;1,0003927;1.637.735.485.319,34;794;10,4;10,39;10,4;0,024;3.451,85
29/08/2024;10,4;1,0003927;1.682.080.348.066,82;841;10,4;10,39;10,4;0,025;3.629,59
28/08/2024;10,4;1,0003927;1.664.537.338.830,96;839;10,4;10,39;10,4;0,026;2.868,84
27/08/2024;10,4;1,0003927;1.676.082.814.733,45;943;10,4;10,39;10,4;0,028;3.082,38
26/08/2024;10,4;1,0003927;1.670.319.918.430,18;834;10,4;10,39;10,4;0,026;3.449,11
23/08/2024;10,4;1,0003927;1.699.681.655.397,19;833;10,4;10,39;10,4;0,025;3.869,73
22/08/2024;10,4;1,0003927;1.693.906.243.426,39;859;10,4;10,39;10,4;0,026;3.445,00
21/08/2024;10,4;1,0003927;1.707.083.434.273,65;841;10,4;10,39;10,4;0,026;3.719,38
20/08/2024;10,4;1,0003927;1.753.091.185.397,24;819;10,4;10,39;10,4;0,031;3.199,00
19/08/2024;10,4;1,0003927;1.756.366.653.160,63;890;10,4;10,39;10,4;0,032;2.859,23
16/08/2024;10,4;1,0003927;1.768.254.547.209,13;837;10,4;10,39;10,4;0,03;3.217,70
15/08/2024;10,4;1,0003927;1.738.134.684.352,55;922;10,4;10,39;10,4;0,032;2.919,80
14/08/2024;10,4;1,0003927;1.511.300.083.601,79;900;10,4;10,39;10,4;0,035;2.472,77
13/08/2024;10,4;1,0003927;1.532.604.547.702,43;848;10,4;10,39;10,4;0,035;2.384,34
12/08/2024;10,4;1,0003927;1.531.355.836.475,03;866;10,4;10,39;10,4;0,034;2.583,99
09/08/2024;10,4;1,0003927;1.506.393.870.416,43;827;10,4;10,39;10,4;0,033;2.787,91
08/08/2024;10,4;1,0003927;1.505.746.764.830,01;821;10,4;10,39;10,4;0,033;2.703,12
07/08/2024;10,4;1,0003927;1.498.370.700.500,58;860;10,4;10,39;10,4;0,031;2.845,40
06/08/2024;10,4;1,0003927;1.503.349.949.768,14;846;10,4;10,39;10,4;0,031;2.764,36
05/08/2024;10,4;1,0003927;1.503.206.083.288,75;771;10,4;10,39;10,4;0,028;2.796,49
02/08/2024;10,4;1,0003927;1.478.163.493.274,68;836;10,4;10,39;10,4;0,023;3.726,35
01/08/2024;10,4;1,0003927;1.441.944.714.786,36;896;10,4;10,39;10,4;0,02;1.561,04
31/07/2024;10,4;1,0003927;1.438.725.508.456,86;847;10,4;10,39;10,4;0,023;2.938,45
30/07/2024;10,4;1,0003927;1.490.739.045.134,18;853;10,4;10,39;10,4;0,027;3.208,62
29/07/2024;10,4;1,0003927;1.496.625.472.468,82;851;10,4;10,39;10,4;0,023;3.315,49
26/07/2024;10,4;1,0003927;1.481.806.979.499,30;861;10,4;10,39;10,4;0,026;20.462,07
25/07/2024;10,4;1,0003927;1.532.201.338.992,37;872;10,4;10,39;10,4;0,019;1.249,14
24/07/2024;10,4;1,0003927;1.505.286.772.442,97;860;10,4;10,39;10,4;0,021;2.395,96
23/07/2024;10,4;1,0003927;1.497.110.340.448,06;847;10,4;10,39;10,4;0,024;2.933,91
22/07/2024;10,4;1,0003927;1.498.705.392.005,94;859;10,4;10,39;10,4;0,023;3.267,02
19/07/2024;10,4;1,0003927;1.561.485.619.544,05;862;10,4;10,39;10,4;0,022;3.021,27
18/07/2024;10,4;1,0003927;1.552.404.374.664,60;864;10,4;10,39;10,4;0,022;3.277,21
17/07/2024;10,4;1,0003927;1.548.262.188.871,57;879;10,4;10,39;10,4;0,021;2.874,70
16/07/2024;10,4;1,0003927;1.578.047.849.377,64;883;10,4;10,39;10,4;0,029;2.861,00
15/07/2024;10,4;1,0003927;1.545.963.839.725,50;868;10,4;10,39;10,4;0,029;2.947,26
12/07/2024;10,4;1,0003927;1.561.318.376.713,20;868;10,4;10,39;10,4;0,029;3.101,36
11/07/2024;10,4;1,0003927;1.555.382.175.506,89;841;10,4;10,39;10,4;0,03;3.364,46
10/07/2024;10,4;1,0003927;1.562.343.938.140,94;875;10,4;10,39;10,4;0,029;3.609,84
09/07/2024;10,4;1,0003927;1.568.219.346.024,64;858;10,4;10,39;10,4;0,032;2.788,65
08/07/2024;10,4;1,0003927;1.561.548.934.979,85;857;10,4;10,39;10,4;0,036;2.483,86
05/07/2024;10,4;1,0003927;1.568.369.742.795,94;892;10,4;10,39;10,4;0,034;2.748,87
04/07/2024;10,4;1,0003927;1.560.899.650.475,86;871;10,4;10,39;10,4;0,03;3.317,57
03/07/2024;10,4;1,0003927;1.587.470.000.978,45;868;10,4;10,39;10,4;0,027;3.728,57
02/07/2024;10,4;1,0003927;1.586.163.132.692,62;879;10,4;10,39;10,4;0,026;3.743,71
01/07/2024;10,4;1,0003927;1.555.518.741.997,36;887;10,4;10,39;10,4;0,024;3.145,35
28/06/2024;10,4;1,0003927;1.313.314.112.652,70;837;10,4;10,39;10,4;0,029;2.872,16
27/06/2024;10,4;1,0003927;1.419.645.644.246,06;821;10,4;10,39;10,4;0,028;2.708,18
26/06/2024;10,4;1,0003927;1.401.926.941.348,16;851;10,4;10,39;10,4;0,026;3.554,71
25/06/2024;10,4;1,0003927;1.426.827.297.367,95;860;10,4;10,39;10,4;0,03;2.862,78
24/06/2024;10,4;1,0003927;1.435.985.922.127,35;837;10,4;10,39;10,4;0,029;3.047,50
21/06/2024;10,4;1,0003927;1.428.250.030.688,70;858;10,4;10,39;10,4;0,029;3.181,99
20/06/2024;10,4;1,0003927;1.460.319.893.795,41;857;10,4;10,39;10,4;0,028;3.425,40
19/06/2024;10,4;1,0003927;1.468.810.650.596,91;846;10,4;10,39;10,4;0,028;3.423,84
18/06/2024;10,4;1,0003927;1.465.759.036.337,89;859;10,4;10,39;10,4;0,036;2.456,57
17/06/2024;10,4;1,0003927;1.460.999.987.305,56;864;10,4;10,39;10,4;0,036;2.389,10
14/06/2024;10,4;1,0003927;1.462.057.938.883,86;853;10,4;10,39;10,4;0,039;2.164,56
13/06/2024;10,4;1,0003927;1.457.978.493.994,21;839;10,4;10,39;10,4;0,04;2.307,06
12/06/2024;10,4;1,0003927;1.460.350.720.244,84;856;10,4;10,39;10,4;0,04;2.214,90
11/06/2024;10,4;1,0003927;1.485.509.601.542,54;849;10,4;10,39;10,4;0,042;2.024,71
10/06/2024;10,4;1,0003927;1.464.951.859.200,30;860;10,4;10,39;10,4;0,04;2.126,63
07/06/2024;10,4;1,0003927;1.442.290.200.544,62;854;10,4;10,39;10,4;0,045;1.784,13
06/06/2024;10,4;1,0003927;1.438.349.553.110,81;863;10,4;10,39;10,4;0,041;1.994,60
05/06/2024;10,4;1,0003927;1.463.683.820.845,75;859;10,4;10,39;10,4;0,037;2.317,43
04/06/2024;10,4;1,0003927;1.463.980.331.341,98;865;10,4;10,39;10,4;0,034;2.396,01
03/06/2024;10,4;1,0003927;1.439.583.903.927,29;852;10,4;10,39;10,4;0,03;2.499,09
31/05/2024;10,4;1,0003927;1.337.513.563.688,69;807;10,4;10,39;10,4;0,033;2.424,94
29/05/2024;10,4;1,0003927;1.423.145.982.659,79;858;10,4;10,39;10,4;0,036;2.299,68
28/05/2024;10,4;1,0003927;1.417.018.588.222,32;842;10,4;10,39;10,4;0,028;3.095,04
27/05/2024;10,4;1,0003927;1.400.928.933.941,22;880;10,4;10,39;10,4;0,023;3.678,63
24/05/2024;10,4;1,0003927;1.422.077.132.472,66;848;10,4;10,39;10,4;0,024;3.967,24
23/05/2024;10,4;1,0003927;1.416.603.346.036;831;10,4;10,39;10,4;0,024;4.110,78
22/05/2024;10,4;1,0003927;1.404.666.556.866,92;826;10,4;10,39;10,4;0,024;3.666,78
21/05/2024;10,4;1,0003927;1.426.307.155.434,98;858;10,4;10,39;10,4;0,025;3.465,33
20/05/2024;10,4;1,0003927;1.473.750.612.772,30;871;10,4;10,39;10,4;0,031;3.051,83
17/05/2024;10,4;1,0003927;1.465.395.577.849,84;838;10,4;10,39;10,4;0,029;3.458,78
16/05/2024;10,4;1,0003927;1.475.900.007.326,94;854;10,4;10,39;10,4;0,029;3.368,90
15/05/2024;10,4;1,0003927;1.472.078.012.169,82;857;10,4;10,39;10,4;0,029;3.412,40
14/05/2024;10,4;1,0003927;1.466.661.300.598,53;876;10,4;10,39;10,4;0,038;2.329,39
13/05/2024;10,4;1,0003927;1.455.277.034.931,69;853;10,4;10,39;10,4;0,04;2.191,52
10/05/2024;10,4;1,0003927;1.442.143.501.923,97;852;10,4;10,39;10,4;0,041;2.064,40
09/05/2024;10,4;1,0003927;1.433.766.051.779,51;858;10,4;10,39;10,4;0,043;1.831,83
08/05/2024;10,65;1,00040168;1.430.731.589.039,65;866;10,65;10,64;10,65;0,045;1.868,55
07/05/2024;10,65;1,00040168;1.456.273.236.570,27;876;10,65;10,64;10,65;0,043;1.935,90
06/05/2024;10,65;1,00040168;1.454.753.522.610,81;895;10,65;10,64;10,65;0,038;2.379,78
03/05/2024;10,65;1,00040168;1.443.174.917.611,97;862;10,65;10,64;10,65;0,034;2.752,61
02/05/2024;10,65;1,00040168;1.427.576.856.914,34;871;10,65;10,64;10,65;0,031;3.077,41
30/04/2024;10,65;1,00040168;1.441.884.289.582,90;864;10,65;10,64;10,65;0,032;2.850,30
29/04/2024;10,65;1,00040168;1.480.361.024.801,77;874;10,65;10,64;10,65;0,031;3.187,37
26/04/2024;10,65;1,00040168;1.467.315.627.752,54;862;10,65;10,64;10,65;0,033;3.068,24
25/04/2024;10,65;1,00040168;1.485.921.592.687,18;838;10,65;10,64;10,65;0,042;4.058,95
24/04/2024;10,65;1,00040168;1.475.981.328.846,92;850;10,65;10,64;10,65;0,042;4.232,18
23/04/2024;10,65;1,00040168;1.509.674.705.734,17;832;10,65;10,64;10,65;0,043;3.898,01
22/04/2024;10,65;1,00040168;1.516.138.462.969,90;864;10,65;10,64;10,65;0,037;4.612,72
19/04/2024;10,65;1,00040168;1.570.416.762.043,12;863;10,65;10,64;10,65;0,037;4.894,32
18/04/2024;10,65;1,00040168;1.577.131.765.839,87;849;10,65;10,64;10,65;0,038;4.448,54
17/04/2024;10,65;1,00040168;1.579.665.013.089,98;839;10,65;10,64;10,65;0,043;3.929,07
16/04/2024;10,65;1,00040168;1.602.290.811.550,78;868;10,65;10,64;10,65;0,075;1.587,92
15/04/2024;10,65;1,00040168;1.580.507.230.321,46;860;10,65;10,64;10,65;0,067;1.861,60
12/04/2024;10,65;1,00040168;1.561.756.372.666,60;835;10,65;10,64;10,65;0,051;3.012,78
11/04/2024;10,65;1,00040168;1.558.394.922.626,97;862;10,65;10,64;10,65;0,049;3.082,50
10/04/2024;10,65;1,00040168;1.548.011.819.512,22;858;10,65;10,64;10,65;0,03;5.225,05
09/04/2024;10,65;1,00040168;1.562.332.530.742,37;873;10,65;10,64;10,65;0,039;4.525,95
08/04/2024;10,65;1,00040168;1.541.113.016.369,79;874;10,65;10,64;10,65;0,042;4.039,90
05/04/2024;10,65;1,00040168;1.564.045.829.565,28;924;10,65;10,64;10,65;0,038;4.543,07
04/04/2024;10,65;1,00040168;1.547.575.952.438,55;841;10,65;10,64;10,65;0,033;4.780,87
03/04/2024;10,65;1,00040168;1.556.368.016.870,89;890;10,65;10,64;10,65;0,031;5.318,63
02/04/2024;10,65;1,00040168;1.590.641.285.603,87;834;10,65;10,64;10,65;0,03;5.706,32
01/04/2024;10,65;1,00040168;1.558.629.266.425,76;881;10,65;10,64;10,65;0,029;5.368,62
28/03/2024;10,65;1,00040168;1.385.286.299.237,41;789;10,65;10,64;10,65;0,037;5.094,70
27/03/2024;10,65;1,00040168;1.430.994.650.728,63;825;10,65;10,64;10,65;0,038;4.977,97
26/03/2024;10,65;1,00040168;1.490.180.667.593,49;837;10,65;10,64;10,65;0,035;5.781,54
25/03/2024;10,65;1,00040168;1.509.679.266.821,39;828;10,65;10,64;10,65;0,033;6.213,76
22/03/2024;10,65;1,00040168;1.504.969.883.054,71;835;10,65;10,64;10,65;0,034;6.142,46
